K	d	48	49
K1	d	52	53
K2	d	56	57
K3	d	67	68
k	d	50	51
k1	d	54	55
k2	d	65	66
k3	d	69	70
Q	d	71	72
Q1	d	75	76
Q2	d	79	80
Q3	d	83	84
q	d	73	74
q1	d	77	78
q2	d	81	82
q3	d	85	86
R	d	87	88
R1	d	97	98
R2	d	101	102
R3	d	105	106
r	d	89	90
r1	d	99	100
r2	d	103	104
r3	d	107	108
B	d	109	110
B1	d	113	114
B2	d	117	118
B3	d	121	122
b	d	111	112
b1	d	115	116
b2	d	119	120
b3	d	167	168
S	d	169	170
S1	d	203	174
S2	d	177	178
S3	d	181	182
s	d	171	172
s1	d	175	176
s2	d	179	180
s3	d	183	184
P	d	185	186
P1	d	189	190
P2	d	193	194
P3	d	197	198
p	d	187	188
p1	d	191	192
p2	d	195	196
p3	d	199	200
!k	x	195	196
!k1	x	197	198
!k2	x	199	200
!k3	x	201	202
!q	d	238	239
!q1	x	205	206
!q2	x	207	208
!q3	x	209	210
!r	d	240	241
!r1	x	211	212
!r2	x	213	214
!r3	x	215	216
!b	d	242	243
!b1	x	217	218
!b2	x	219	220
!b3	x	221	222
!s	d	244	245
!s1	x	223	224
!s2	x	225	226
!s3	x	227	228
!p	d	246	247
!p1	x	229	230
!p2	x	231	232
!p3	x	233	234
A	x	251	252
A1	x	251	252
A2	x	251	252
A3	x	251	252
a	x	253	254
a1	x	253	254
a2	x	253	254
a3	x	253	254
!a	x	253	254
!a1	x	253	254
!a2	x	253	254
!a3	x	253	254
O	x	247	248
O1	x	247	248
O2	x	247	248
O3	x	247	248
o	x	249	250
o1	x	249	250
o2	x	249	250
o3	x	249	250
!o	d	254	255
!o1	d	254	255
!o2	d	254	255
!o3	d	254	255
E	x	239	240
E1	x	235	236
E2	x	239	240
E3	x	235	236
e	x	241	242
e1	x	237	238
e2	x	241	242
e3	x	237	238
!e	x	245	246
!e1	x	243	244
!e2	x	245	246
!e3	x	243	244
X	d	252	253
X1	d	252	253
X2	d	252	253
X3	d	252	253
x	d	252	253
x1	d	252	253
x2	d	252	253
x3	d	252	253
!x	d	252	253
!x1	d	252	253
!x2	d	252	253
!x3	d	252	253
D	d	248	249
D1	d	248	249
D2	d	248	249
D3	d	248	249
d	d	250	251
d1	d	250	251
d2	d	250	251
d3	d	250	251
!d	d	250	251
!d1	d	250	251
!d2	d	250	251
!d3	d	250	251
F	d	228	229
F1	d	228	229
F2	d	228	229
F3	d	228	229
f	d	230	231
f1	d	230	231
f2	d	230	231
f3	d	230	231
!f	d	230	231
!f1	d	230	231
!f2	d	230	231
!f3	d	230	231
W	d	232	233
W1	d	232	233
W2	d	232	233
W3	d	232	233
w	d	234	235
w1	d	234	235
w2	d	234	235
w3	d	234	235
!w	d	234	235
!w1	d	234	235
!w2	d	234	235
!w3	d	234	235
